受賞作,著者,賞タイトル,著者__受賞・最終候補作,ISBN10,calil,ImageURL
顔に降りかかる雨,桐野夏生,江戸川乱歩賞,桐野夏生__顔に降りかかる雨,4062936801,https://calil.jp/book/4062066688,https://images-na.ssl-images-amazon.com/images/P/4062066688.09.LZZZZZZZ
風に舞いあがるビニールシート,森絵都,直木賞,森絵都__風に舞いあがるビニールシート,4163249206,https://calil.jp/book/4163249206,https://images-na.ssl-images-amazon.com/images/P/4163249206.09.LZZZZZZZ
風のターン・ロード,石井敏弘,江戸川乱歩賞,石井敏弘__風のターン・ロード,4062738481,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
飼育,大江健三郎,芥川賞,大江健三郎__飼育,4101126011,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
首里の馬,高山羽根子,芥川賞,高山羽根子__首里の馬,4103533811,https://calil.jp/book/4103533811,https://images-na.ssl-images-amazon.com/images/P/4103533811.09.LZZZZZZZ
香港,邱永漢,直木賞,邱永漢__香港,4408320137,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
馬淵川,渡邊喜恵子,直木賞,渡邊喜恵子__馬淵川,4620101222,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
驟雨・その他,吉行淳之介,芥川賞,吉行淳之介__驟雨・その他,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
高円寺純情商店街,ねじめ正一,直木賞,ねじめ正一__高円寺純情商店街,4103722045,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
高安犬物語,戸川幸夫,直木賞,戸川幸夫__高安犬物語,4270101776,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
高層の死角,森村誠一,江戸川乱歩賞,森村誠一__高層の死角,4334025471,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
鬼の詩,藤本義一,直木賞,藤本義一__鬼の詩,4309412165,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
魚河岸ものがたり,森田誠吾,直木賞,森田誠吾__魚河岸ものがたり,4103387025,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
鯨神,宇能鴻一郎,芥川賞,宇能鴻一郎__鯨神,4122008425,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
鶏騒動,半田義之,芥川賞,半田義之__鶏騒動,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
