年,賞タイトル,賞,受賞・最終候補作,著者,出版,著者__受賞・最終候補作,key,追加日時,発表日,並べ順日付,ISBN10,複数受賞,calil,ImageURL,賞タイプ
2025,本格ミステリ・ベスト10,国内03,六色の蛹,櫻田智也,,櫻田智也__六色の蛹,2025_本格ミステリ・ベスト10_国内03_六色の蛹_櫻田智也,2024/12/09 17:18:38,2024/12/09,2024/12/09,4488029035,3,https://calil.jp/book/4488029035,https://images-na.ssl-images-amazon.com/images/P/4488029035.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,国内04,伯爵と三つの棺,潮谷験,,潮谷験__伯爵と三つの棺,2025_本格ミステリ・ベスト10_国内04_伯爵と三つの棺_潮谷験,2024/12/09 17:18:38,2024/12/09,2024/12/09,4065361753,3,https://calil.jp/book/4065361753,https://images-na.ssl-images-amazon.com/images/P/4065361753.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,国内05,永劫館超連続殺人事件 魔女はＸと死ぬことにした,南海遊,,南海遊__永劫館超連続殺人事件 魔女はＸと死ぬことにした,2025_本格ミステリ・ベスト10_国内05_永劫館超連続殺人事件 魔女はＸと死ぬことにした_南海遊,2024/12/09 17:18:38,2024/12/09,2024/12/09,406535143X,1,https://calil.jp/book/406535143X,https://images-na.ssl-images-amazon.com/images/P/406535143X.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,国内06,サロメの断頭台,夕木春央,,夕木春央__サロメの断頭台,2025_本格ミステリ・ベスト10_国内06_サロメの断頭台_夕木春央,2024/12/09 17:18:38,2024/12/09,2024/12/09,4065348951,1,https://calil.jp/book/4065348951,https://images-na.ssl-images-amazon.com/images/P/4065348951.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,国内07,少女には向かない完全犯罪,方丈貴恵,,方丈貴恵__少女には向かない完全犯罪,2025_本格ミステリ・ベスト10_国内07_少女には向かない完全犯罪_方丈貴恵,2024/12/09 17:18:38,2024/12/09,2024/12/09,4065367107,4,https://calil.jp/book/4065367107,https://images-na.ssl-images-amazon.com/images/P/4065367107.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,国内08,黄土館の殺人,阿津川辰海,,阿津川辰海__黄土館の殺人,2025_本格ミステリ・ベスト10_国内08_黄土館の殺人_阿津川辰海,2024/12/09 17:18:38,2024/12/09,2024/12/09,4065347289,1,https://calil.jp/book/4065347289,https://images-na.ssl-images-amazon.com/images/P/4065347289.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,国内09,冬期限定ボンボンショコラ事件,米澤穂信,,米澤穂信__冬期限定ボンボンショコラ事件,2025_本格ミステリ・ベスト10_国内09_冬期限定ボンボンショコラ事件_米澤穂信,2024/12/09 17:18:38,2024/12/09,2024/12/09,4488451128,4,https://calil.jp/book/4488451128,https://images-na.ssl-images-amazon.com/images/P/4488451128.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,国内10,案山子の村の殺人,楠谷佑,,楠谷佑__案山子の村の殺人,2025_本格ミステリ・ベスト10_国内10_案山子の村の殺人_楠谷佑,2024/12/09 17:18:38,2024/12/09,2024/12/09,4488020232,1,https://calil.jp/book/4488020232,https://images-na.ssl-images-amazon.com/images/P/4488020232.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,海外02,ウナギの罠,ヤーン・エクストレム,,ヤーン・エクストレム__ウナギの罠,2025_本格ミステリ・ベスト10_海外02_ウナギの罠_ヤーン・エクストレム,2024/12/09 17:18:38,2024/12/09,2024/12/09,4594094066,3,https://calil.jp/book/4594094066,https://images-na.ssl-images-amazon.com/images/P/4594094066.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,海外03,ボタニストの殺人,M・W・クレイヴン,,M・W・クレイヴン__ボタニストの殺人,2025_本格ミステリ・ベスト10_海外03_ボタニストの殺人_M・W・クレイヴン,2024/12/09 17:18:38,2024/12/09,2024/12/09,4151842551,4,https://calil.jp/book/4151842551,https://images-na.ssl-images-amazon.com/images/P/4151842551.09.LZZZZZZZ,候補
