著者__受賞作,著者,受賞作,ISBN10,ImageURL,賞名,Calil
斎堂籐子__朝の眠り、夜の果実,斎堂籐子,朝の眠り、夜の果実,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_横溝正史ミステリ&ホラー大賞_第36回（2016年度）候補_朝の眠り、夜の果実_斎堂籐子,https://calil.jp/search?q=%E6%96%8E%E5%A0%82%E7%B1%90%E5%AD%90%20%E6%9C%9D%E3%81%AE%E7%9C%A0%E3%82%8A%E3%80%81%E5%A4%9C%E3%81%AE%E6%9E%9C%E5%AE%9F
西式豊__砂漠の島,西式豊,砂漠の島,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_横溝正史ミステリ&ホラー大賞_第36回（2016年度）候補_砂漠の島_西式豊,https://calil.jp/search?q=%E8%A5%BF%E5%BC%8F%E8%B1%8A%20%E7%A0%82%E6%BC%A0%E3%81%AE%E5%B3%B6
江錐勝__馬鈴薯と漬け物,江錐勝,馬鈴薯と漬け物,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_鮎川哲也賞_第26回（2016年度）候補_馬鈴薯と漬け物_江錐勝,https://calil.jp/search?q=%E6%B1%9F%E9%8C%90%E5%8B%9D%20%E9%A6%AC%E9%88%B4%E8%96%AF%E3%81%A8%E6%BC%AC%E3%81%91%E7%89%A9
才川真澄__南国コンチェルト,才川真澄,南国コンチェルト,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_鮎川哲也賞_第26回（2016年度）候補_南国コンチェルト_才川真澄,https://calil.jp/search?q=%E6%89%8D%E5%B7%9D%E7%9C%9F%E6%BE%84%20%E5%8D%97%E5%9B%BD%E3%82%B3%E3%83%B3%E3%83%81%E3%82%A7%E3%83%AB%E3%83%88
朝永理人__墜落論,朝永理人,墜落論,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_鮎川哲也賞_第26回（2016年度）候補_墜落論_朝永理人,https://calil.jp/search?q=%E6%9C%9D%E6%B0%B8%E7%90%86%E4%BA%BA%20%E5%A2%9C%E8%90%BD%E8%AB%96
御室千紗__鎮守の森のアーキビスト,御室千紗,鎮守の森のアーキビスト,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_鮎川哲也賞_第26回（2016年度）候補_鎮守の森のアーキビスト_御室千紗,https://calil.jp/search?q=%E5%BE%A1%E5%AE%A4%E5%8D%83%E7%B4%97%20%E9%8E%AE%E5%AE%88%E3%81%AE%E6%A3%AE%E3%81%AE%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%93%E3%82%B9%E3%83%88
鳥飼否宇__死と砂時計,鳥飼否宇,死と砂時計,4488025439,https://images-na.ssl-images-amazon.com/images/P/4488025439.09.LZZZZZZZ,2016_ミステリが読みたい!_国内編09_死と砂時計 _鳥飼否宇,https://calil.jp/book/4488025439
阿部和重・伊坂幸太郎__キャプテンサンダーボルト,阿部和重・伊坂幸太郎,キャプテンサンダーボルト,4163901949,https://images-na.ssl-images-amazon.com/images/P/4163901949.09.LZZZZZZZ,2016_ミステリが読みたい!_国内編08_キャプテンサンダーボルト _伊坂幸太郎,https://calil.jp/book/4163901949
井上真偽__その可能性はすでに考えた,井上真偽,その可能性はすでに考えた,4062990555,https://images-na.ssl-images-amazon.com/images/P/4062990555.09.LZZZZZZZ,2016_ミステリが読みたい!_国内編05_その可能性はすでに考えた _井上真偽,https://calil.jp/book/4062990555
フェルディナント・フォン・シーラッハ__禁忌,フェルディナント・フォン・シーラッハ,禁忌,4488010407,https://images-na.ssl-images-amazon.com/images/P/4488010407.09.LZZZZZZZ,2016_ミステリが読みたい!_海外編10_禁忌 _フェルディナント・フォン・シーラッハ,https://calil.jp/book/4488010407
